"Kaygi" "Korku" "Ozyet" "Ilgi" "Davranis" "Basari"
"421" -2.37 -2.0269 0.15 -0.2514 0.4486 4.2
"422" 1.26 2.0328 -1.51 0.9484 -2.1402 4.3
"423" 1.53 -1.2999 0.78 -1.4788 0.2438 3.6
"424" 0.79 -0.3017 -1.06 -0.2514 1.2288 3.3
"425" 1.89 -0.076 0.15 0.1775 2.2022 4.8
"426" -0.73 -1.6239 0.15 0.1775 1.0998 4.8
"427" -1.68 -3.7666 -0.63 -1.5329 0.4486 3.7
"428" 0.56 -0.076 2.27 -0.7332 1.7024 3.6
"429" -2.37 0.1524 1.47 1.4565 1.2288 4.8
"430" -0.47 -1.2999 -0.18 1.4565 0.4486 3.7
